LibraryElement, DeclaringType, EntityKind, Count, Status
System.ComponentModel.EditorBrowsableState,System.ComponentModel.EditorBrowsableState,Type,2,1
System.Reflection.AssemblyVersionAttribute..ctor,System.Reflection.AssemblyVersionAttribute,Method,1,1
System.Configuration.ApplicationSettingsBase,System.Configuration.ApplicationSettingsBase,Type,2,1
System.Diagnostics.DebuggerNonUserCodeAttribute..ctor,System.Diagnostics.DebuggerNonUserCodeAttribute,Method,1,1
System.Diagnostics.CodeAnalysis.SuppressMessageAttribute..ctor,System.Diagnostics.CodeAnalysis.SuppressMessageAttribute,Method,1,1
System.Windows.Forms.Form.Text,System.Windows.Forms.Form,Property,1,1
System.Windows.Forms.Form.ClientSize,System.Windows.Forms.Form,Property,1,1
WindowsFormsApp1.Properties.Settings,WindowsFormsApp1.Properties.Settings,Type,4,1
WindowsFormsApp1.Properties.Settings..ctor,WindowsFormsApp1.Properties.Settings,Method,1,1
System.Runtime.CompilerServices.CompilerGeneratedAttribute..ctor,System.Runtime.CompilerServices.CompilerGeneratedAttribute,Method,2,1
System.ComponentModel.EditorBrowsableState.Advanced,System.ComponentModel.EditorBrowsableState,Field,2,1
System.Windows.Forms.Label..ctor,System.Windows.Forms.Label,Method,2,1
System.Windows.Forms.Label,System.Windows.Forms.Label,Type,4,1
System.Windows.Forms.TextBox.Text,System.Windows.Forms.TextBox,Property,2,1
System,System,Type,3,1
WindowsFormsApp1.Properties.Resources.set_Culture.value,WindowsFormsApp1.Properties.Resources.set_Culture.value,Type,1,1
System.Resources.ResourceManager..ctor,System.Resources.ResourceManager,Method,1,1
System.Drawing.SizeF,System.Drawing.SizeF,Type,1,1
System.Type.Assembly,System.Type,Property,1,1
System.Resources.ResourceManager,System.Resources.ResourceManager,Type,4,1
System.Windows.Forms.Label.Text,System.Windows.Forms.Label,Property,4,1
System.Windows.Forms.Label.AutoSize,System.Windows.Forms.Label,Property,4,1
System.Drawing.SizeF..ctor,System.Drawing.SizeF,Method,1,1
System.Windows.Forms.TextBox..ctor,System.Windows.Forms.TextBox,Method,1,1
WindowsFormsApp1.Properties.Settings.defaultInstance,WindowsFormsApp1.Properties.Settings,Field,1,1
System.Windows.Forms.TextBox,System.Windows.Forms.TextBox,Type,2,1
System.Reflection.AssemblyTrademarkAttribute..ctor,System.Reflection.AssemblyTrademarkAttribute,Method,1,1
System.Reflection.AssemblyProductAttribute..ctor,System.Reflection.AssemblyProductAttribute,Method,1,1
System.Windows.Forms.Application.Run,System.Windows.Forms.Application,Method,2,1
System.Windows.Forms.Application.SetCompatibleTextRenderingDefault,System.Windows.Forms.Application,Method,1,1
System.Windows.Forms.Application.EnableVisualStyles,System.Windows.Forms.Application,Method,1,1
System.ComponentModel.EditorBrowsableAttribute..ctor,System.ComponentModel.EditorBrowsableAttribute,Method,2,1
System.CodeDom.Compiler.GeneratedCodeAttribute..ctor,System.CodeDom.Compiler.GeneratedCodeAttribute,Method,2,1
System.Windows.Forms.Application,System.Windows.Forms.Application,Type,3,1
System.Drawing.Size,System.Drawing.Size,Type,5,1
WindowsFormsApp1.Properties.Resources,WindowsFormsApp1.Properties.Resources,Type,1,1
System.Windows.Forms.Application.SetCompatibleTextRenderingDefault,System.Windows.Forms.Application,Method,1,0
System.Windows.Forms.Application.EnableVisualStyles,System.Windows.Forms.Application,Method,1,0
System.Drawing.Size..ctor,System.Drawing.Size,Method,5,1
System.Windows.Forms.ContainerControl.AutoScaleDimensions,System.Windows.Forms.ContainerControl,Property,1,0
System.Windows.Forms.ContainerControl.AutoScaleMode,System.Windows.Forms.ContainerControl,Property,1,0
System.Reflection.AssemblyCompanyAttribute..ctor,System.Reflection.AssemblyCompanyAttribute,Method,1,1
System.Windows.Forms.Control+ControlCollection.Add,System.Windows.Forms.Control+ControlCollection,Method,12,1
WindowsFormsApp1.Form1..ctor,WindowsFormsApp1.Form1,Method,1,1
WindowsFormsApp1.Form1.InitializeComponent,WindowsFormsApp1.Form1,Method,2,1
WindowsFormsApp1.Form1.label1_Click,WindowsFormsApp1.Form1,Method,1,1
WindowsFormsApp1.Form1.button1_Click,WindowsFormsApp1.Form1,Method,1,1
WindowsFormsApp1.Form1.label2_Click,WindowsFormsApp1.Form1,Method,1,1
WindowsFormsApp1.Form1,WindowsFormsApp1.Form1,Type,1,1
WindowsFormsApp1.Properties.Resources.resourceCulture,WindowsFormsApp1.Properties.Resources,Field,2,1
WindowsFormsApp1.Properties.Resources.resourceMan,WindowsFormsApp1.Properties.Resources,Field,3,1
System.Windows.Forms.AutoScaleMode.Font,System.Windows.Forms.AutoScaleMode,Field,1,0
WindowsFormsApp1.Form1.button1,WindowsFormsApp1.Form1,Field,9,1
WindowsFormsApp1.Form1.label1,WindowsFormsApp1.Form1,Field,9,1
WindowsFormsApp1.Form1.textBox1,WindowsFormsApp1.Form1,Field,7,1
WindowsFormsApp1.Form1.label2,WindowsFormsApp1.Form1,Field,9,1
WindowsFormsApp1.Form1.components,WindowsFormsApp1.Form1,Field,2,1
System.Windows.Forms.AutoScaleMode,System.Windows.Forms.AutoScaleMode,Type,1,1
System.Reflection.AssemblyDescriptionAttribute..ctor,System.Reflection.AssemblyDescriptionAttribute,Method,1,1
System.Windows.Forms.Button..ctor,System.Windows.Forms.Button,Method,1,1
System.Windows.Forms.Button,System.Windows.Forms.Button,Type,2,1
System.Reflection.AssemblyCopyrightAttribute..ctor,System.Reflection.AssemblyCopyrightAttribute,Method,1,1
System.Windows.Forms.ButtonBase.Text,System.Windows.Forms.ButtonBase,Property,2,1
System.Windows.Forms.ButtonBase.UseVisualStyleBackColor,System.Windows.Forms.ButtonBase,Property,2,1
System.Windows.Forms.Control.Location,System.Windows.Forms.Control,Property,8,1
System.Windows.Forms.Control.Name,System.Windows.Forms.Control,Property,9,1
System.Windows.Forms.Control.Size,System.Windows.Forms.Control,Property,8,1
System.Windows.Forms.Control.TabIndex,System.Windows.Forms.Control,Property,8,1
System.Windows.Forms.Control.Controls,System.Windows.Forms.Control,Property,4,1
System.IDisposable.Dispose,System.IDisposable,Method,2,1
WindowsFormsApp1.Properties.Resources.get_ResourceManager.temp,WindowsFormsApp1.Properties.Resources.get_ResourceManager.temp,Type,1,1
System.Runtime.InteropServices.ComVisibleAttribute..ctor,System.Runtime.InteropServices.ComVisibleAttribute,Method,1,1
System.Windows.Forms.Control.Click,System.Windows.Forms.Control,Event,6,1
System.Windows.Forms.Control.PerformLayout,System.Windows.Forms.Control,Method,1,1
System.Windows.Forms.Control.ResumeLayout,System.Windows.Forms.Control,Method,2,1
System.Windows.Forms.Control.SuspendLayout,System.Windows.Forms.Control,Method,2,1
System.ComponentModel.IContainer,System.ComponentModel.IContainer,Type,1,1
System.ComponentModel,System.ComponentModel,Type,2,1
System.Windows.Forms.Control.PerformLayout,System.Windows.Forms.Control,Method,1,0
System.Reflection.AssemblyConfigurationAttribute..ctor,System.Reflection.AssemblyConfigurationAttribute,Method,1,1
System.Drawing.Point..ctor,System.Drawing.Point,Method,4,1
System.Drawing.Point,System.Drawing.Point,Type,4,1
System.Runtime.InteropServices.GuidAttribute..ctor,System.Runtime.InteropServices.GuidAttribute,Method,1,1
System.EventArgs,System.EventArgs,Type,3,1
System.Reflection.AssemblyFileVersionAttribute..ctor,System.Reflection.AssemblyFileVersionAttribute,Method,1,1
WindowsFormsApp1.Form1.Dispose.disposing,WindowsFormsApp1.Form1.Dispose.disposing,Type,2,1
System.Reflection.AssemblyTitleAttribute..ctor,System.Reflection.AssemblyTitleAttribute,Method,1,1
System.Configuration.SettingsBase.Synchronized,System.Configuration.SettingsBase,Method,2,1
System.STAThreadAttribute..ctor,System.STAThreadAttribute,Method,1,1
System.Reflection.AssemblyCultureAttribute..ctor,System.Reflection.AssemblyCultureAttribute,Method,1,1
System.Configuration,System.Configuration,Type,1,1
System.Globalization.CultureInfo,System.Globalization.CultureInfo,Type,2,1
System.Windows.Forms.Form.Dispose,System.Windows.Forms.Form,Method,3,1
System.Windows.Forms.Form,System.Windows.Forms.Form,Type,1,1
